date_time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,long,lat
2025-01-18 20:29:24+00,ped,Street,WASHINGTON ST,NORTHAMPTON ST,LENOX ST,770228.510000000000,2947624.230000000000,-71.0781290443949,42.33565200322881
2017-05-29 20:33:04+00,ped,Street,TREMONT ST,UNION PARK,PUBLIC ALLEY NO. 701,771705.680000000000,2950560.760000000000,-71.07245522876818,42.34352515368746
2022-07-13 12:09:14+00,bike,Intersection,,HUNTINGTON AVE,MASSACHUSETTS AVE,768353.160000000000,2950235.900000000000,-71.0850258466602,42.34284918462784
2015-05-19 22:01:12+00,bike,Intersection,,NEW ENGLAND AVE,TALBOT AVE,770568.290000000000,2931627.610000000000,-71.07717349271825,42.291757331668876
2016-11-08 09:59:32+00,bike,Street,CAMBRIDGE ST,DUSTIN ST,WARREN ST,751610.340000000000,2952969.160000000000,-71.14673742844252,42.35030981847824
2020-08-18 11:29:22+00,mv,Intersection,,FORSYTH WAY,HEMENWAY ST,766321.340000000000,2949026.050000000000,-71.09256274343156,42.33955619489268
2019-01-10 18:48:26+00,ped,Street,MELNEA CASS BLVD,MASSACHUSETTS AVE,HAMPDEN ST,771429.170000000000,2946319.640000000000,-71.07349011506497,42.331820458815706
2017-12-20 14:20:38+00,ped,Intersection,,HERALD ST,WASHINGTON ST,773877.610000000000,2951643.400000000000,-71.06456485636484,42.3466358349408
2021-07-03 06:58:22+00,ped,Intersection,,WELD ST,WEST ROXBURY PKWY,751934.500000000000,2932264.360000000000,-71.14603303860109,42.293737448333644
2016-02-18 20:40:41+00,ped,Street,HUMBOLDT AVE,MUNROE ST,ELBERT ST,768070.800000000000,2941243.100000000000,-71.08623373328378,42.31817660888333
2024-08-17 23:52:03+00,ped,Street,NEWMARKET SQ,MASSACHUSETTS AVE,SERVICE PL,772958.360000000000,2945829.870000000000,-71.06853530368863,42.330681792710514
2020-07-25 17:34:28+00,mv,Intersection,,A ST,W BROADWAY,776337.870000000000,2949908.400000000000,-71.05549749653231,42.341840125671645
2015-07-17 19:54:07+00,mv,Street,WASHINGTON ST,STEARNS RD,PINECLIFF RD,750204.740000000000,2921978.510000000000,-71.15257385192932,42.26552729063371
2018-07-25 15:13:52+00,ped,Intersection,,L ST,E SIXTH ST,781815.500000000000,2946769.140000000000,-71.03529988830452,42.33314579748979
2018-07-13 11:36:47+00,ped,Intersection,,TREMONT ST,OAK ST W,773610.980000000000,2952369.650000000000,-71.06553747033136,42.34863241429081
2025-10-06 07:57:32+00,ped,Street,ALBANY ST,E CONCORD ST,MASSACHUSETTS AVE,771670.530000000000,2946906.670000000000,-71.07302789074302,42.33384209347465
2019-05-05 01:12:23+00,mv,Street,BENNINGTON ST,ANTRIM ST,ASHLEY ST,789941.820000000000,2966427.330000000000,-71.00497824616637,42.387221048182404
2015-06-06 23:19:42+00,ped,Street,COLUMBUS AVE,CLEAVES ST,DIXWELL ST,765230.520000000000,2939921.540000000000,-71.09677022467628,42.31457664184892
2025-07-12 12:07:41+00,ped,Intersection,,CHARLES ST,DORCHESTER AVE,775195.840000000000,2934939.810000000000,-71.06000729390735,42.30078196791018
2017-02-25 09:46:58+00,mv,Intersection,,TALBOT AVE,LITHGOW ST,772611.610000000000,2930984.610000000000,-71.0696335335975,42.289964858446375
2015-01-21 20:08:47+00,ped,Street,CENTRE ST,RITCHIE ST,LAMARTINE ST,764320.750000000000,2942908.640000000000,-71.10007054917557,42.322779431885806
2016-01-13 08:05:05+00,ped,Street,WASHINGTON ST,VASSAR ST,BOWDOIN AVE,771273.090000000000,2934578.850000000000,-71.07433291658234,42.29996422501259
2019-02-14 01:12:33+00,mv,Street,WASHINGTON ST,MESHAKA ST,DEAD END,747751.840000000000,2919167.790000000000,-71.16151521647804,42.25772644538207
2021-10-30 01:04:28+00,mv,Intersection,,MARTIN LUTHER KING JR BLVD,WARREN ST,769231.290000000000,2941192.460000000000,-71.08194167724652,42.318021869218505
2015-04-25 21:49:27+00,mv,Street,MASSACHUSETTS AVE,MAGAZINE ST,PROCTOR ST,773210.410000000000,2944795.500000000000,-71.06759068223865,42.32765684413819
2024-10-12 11:52:40+00,ped,Intersection,,TOWER ST,WASHINGTON ST,760712.330000000000,2934566.620000000000,-71.11355122170953,42.299950454613715
2024-01-24 03:19:15+00,ped,Intersection,,MASSACHUSETTS AVE,ALBANY ST,771496.770000000000,2946868.370000000000,-71.07346021786326,42.33356601748208
2017-09-20 21:18:34+00,ped,Intersection,,MELNEA CASS BLVD,WASHINGTON ST,769445.790000000000,2946609.710000000000,-71.08105018996379,42.33288413870876
2016-08-24 05:17:44+00,ped,Street,NEWTON ST,ALBANY ST,HARRISON AVE,772166.540000000000,2947905.900000000000,-71.07078884608336,42.33651807954778
2024-04-04 06:30:19+00,ped,Intersection,,ESSEX ST,ATLANTIC AVE,776209.680000000000,2953537.660000000000,-71.05590175753605,42.35180073588021
2024-10-04 19:16:10+00,ped,Intersection,,WASHINGTON ST,BRAHMS ST,753957.700000000000,2926135.850000000000,-71.13865114944244,42.27689709027487
2018-01-12 16:00:51+00,ped,Intersection,,MASSACHUSETTS AVE,NEWBURY ST,767503.410000000000,2952151.900000000000,-71.08813477346843,42.34811804821059
2017-07-30 08:02:04+00,mv,Street,MEADOW RD,NEPONSET VALLEY PKWY,DEAD END,755585.600000000000,2909164.690000000000,-71.13073326073123,42.231034329682615
